id,en,fr,es
use.id,Use %1,Utiliser %1,Usa %1
use.combine_id,Use %1 with %2,Utiliser %1 avec¬†%2,Usa %1 con¬†%2
look.id,Look at,Regarder,
pick_up.id,Pick up,Ramasser,
talk.id,Talk to,Parler à,
UI_CONTINUE,Continue,Continuer,Sigue
UI_NEW_GAME,New Game,Nouveau jeu,Nuevo juego
UI_QUIT,Quit,Quitter,Quitar
UI_YES,Yes,Oui,Si 
UI_NO,No,Non,No
UI_QUIT_CONFIRM,Do you want to quit the game¬†?,Souhaitez-vous vraiment quitter le jeu¬†?,Queres realmente quitar el juego¬†?
UI_NEW_GAME_CONFIRM,Start new game? Your unsaved progress will be lost,Commencer un nouveau jeu¬†? Vous n'avez pas sauvegard√© votre progression‚Ä¶,Empezar un nuevo juego¬†? No has salvado su progresion‚Ä¶
UI_CREDITS,"Escoria in Daïza was created by Élisa de Castro Guerra, Cédric Gémy, Camille ""nylnook"" Bissuel, Gaëtan ""Reptifur"" Hilt and Adrien ""Kooda"" Ramos in Rennes for the « Creating Point and Click Games with Escoria » booksprint from August 22 to 26 in Rennes, France","Escoria en Daïza a été créé par Élisa de Castro Guerra, Cédric Gémy, Camille ""nylnook"" Bissuel, Gaëtan ""Reptifur"" Hilt et Adrien ""Kooda"" Ramos à Rennes pour le booksprint « Creating Point and Click Games with Escoria » du 22 au 26 août 2016 à Rennes, France",
old_man.tooltip,A wise old forest man,Un vieux sage de la forêt,
bad_bamboo.tooltip,A bamboo that smells new,Un bambou qui sent le neuf,
inv_bad_bamboo.tooltip,the bamboo that smells new,le bambou qui sent le neuf,
bad_bamboo_2.tooltip,A shiny bamboo,Un bambou brillant,
inv_bad_bamboo_2.tooltip,the shiny bamboo,le bambou brillant,
good_bamboo.tooltip,A simple bamboo,Un simple bambou,
inv_good_bamboo.tooltip,the simple bamboo,le simple bambou,
good_bamboo_2.tooltip,A well hiden bamboo,Un bambou bien caché,
inv_good_bamboo_2.tooltip,the bamboo that used to be well hiden,le bambou qui était bien caché,
good_bamboo_3.tooltip,A delicious bamboo,Un bambou délicieux,
inv_good_bamboo_3.tooltip,The delicious bamboo,le bambou délicieux,
chameleon.tooltip,A chameleon,Un caméléon,
bamboo_god_2.tooltip,The Great Panda himself !,Le grand panda en personne !,
